time	V(q)	V(r)	V(s)
0.000000000000000e+00	0.000000e+00	1.000000e+00	0.000000e+00
9.599999684084537e-10	0.000000e+00	6.800000e-01	3.200000e-01
1.919999936816907e-09	1.000000e+00	3.600000e-01	6.400000e-01
3.000000000000000e-09	1.000000e+00	0.000000e+00	1.000000e+00
2.000003000000000e-03	1.000000e+00	0.000000e+00	1.000000e+00
2.000006000000000e-03	1.000000e+00	0.000000e+00	9.267509e-11
4.000000000000000e-03	1.000000e+00	0.000000e+00	0.000000e+00
4.000003000000000e-03	1.000000e+00	0.000000e+00	1.000000e+00
4.000003840000000e-03	1.000000e+00	2.800000e-01	1.000000e+00
4.000004800000001e-03	0.000000e+00	6.000000e-01	1.000000e+00
4.000006000000000e-03	0.000000e+00	1.000000e+00	1.000000e+00
6.000003000000000e-03	0.000000e+00	1.000000e+00	1.000000e+00
6.000006000000000e-03	0.000000e+00	1.000000e+00	0.000000e+00
7.744250145005327e-03	0.000000e+00	1.000000e+00	0.000000e+00
8.000000000000000e-03	0.000000e+00	1.000000e+00	0.000000e+00
8.000001203761728e-03	0.000000e+00	5.987461e-01	4.012539e-01
8.000001624272312e-03	1.000000e+00	4.585759e-01	5.414241e-01
8.000003000000000e-03	1.000000e+00	0.000000e+00	1.000000e+00
9.999997000000000e-03	1.000000e+00	0.000000e+00	1.000000e+00
1.000000000000000e-02	1.000000e+00	0.000000e+00	1.000000e+00
